traitement,seuil,n_switchers,part_switchers,part_variation_conservee
Lisière,5.852604463876162,129,0.012816691505216096,0.17509649903580432
Lisière,5.885484264235017,129,0.012816691505216096,0.17509649903580432
Lisière,5.918364064593872,128,0.012717337307501242,0.17424182365921434
Lisière,5.951243864952726,126,0.012518628912071535,0.17252146325077355
Lisière,5.984123665311581,125,0.012419274714356682,0.17165411822267243
Lisière,6.017003465670436,121,0.012021857923497269,0.16818177144702276
Lisière,6.049883266029291,120,0.011922503725782414,0.16730646606091928
Lisière,6.082763066388146,120,0.011922503725782414,0.16730646606091928
Lisière,6.115642866747001,118,0.011723795330352707,0.1655385071477494
Lisière,6.148522667105856,112,0.011127670144063587,0.16020490390262965
Lisière,6.181402467464711,111,0.011028315946348734,0.15930954978547887
Lisière,6.214282267823565,110,0.01092896174863388,0.1584108101502467
Lisière,6.24716206818242,109,0.010829607550919027,0.15750869786544736
Lisière,6.280041868541275,109,0.010829607550919027,0.15750869786544736
Lisière,6.312921668900129,109,0.010829607550919027,0.15750869786544736
Lisière,6.345801469258984,109,0.010829607550919027,0.15750869786544736
Lisière,6.378681269617839,108,0.010730253353204173,0.15658838718689844
Lisière,6.4115610699766945,107,0.01063089915548932,0.15566119802737566
Lisière,6.444440870335549,106,0.010531544957774466,0.1547293972240909
Lisière,6.477320670694404,106,0.010531544957774466,0.1547293972240909
Lisière,6.510200471053259,106,0.010531544957774466,0.1547293972240909
Lisière,6.543080271412113,101,0.0100347739692002,0.14999739136288787
