"X","seuil","delta_1","n_switchers"
NA,0.46677904156968,-2.69188383449135,10
NA,0.511505459900945,-3.54604669884344,7
NA,0.00575155040249228,4.11420748293223,7232
NA,0.0157661027088761,-0.360281622955881,4363
NA,0.008179538436234,0.519313468821147,6304
NA,0.0176603480800986,-1.18451318881126,3999
NA,0.0188093456858769,-0.404200127736663,3814
NA,0.000911129987798631,-6.11196783714231,10095
NA,0.0105621097609401,1.41752011263781,5569
NA,0.0178483808878809,-1.09391488329909,3965
NA,0.0110287002893165,1.0063948875552,5444
NA,0.00913229470606893,1.30078867630196,6018
NA,0.0191366669069976,-0.737376922132884,3763
NA,0.00906668312381953,1.28412309178373,6034
NA,0.0135514127090573,0.382485681203639,4843
NA,0.0114526680391282,0.189243858980485,5320
NA,0.00205849365331233,-3.32358582679631,9112
NA,0.0179964994080365,-1.05443468985845,3943
NA,0.0049217546870932,2.548340075327,7569
NA,0.000841190670616925,-6.27336439754137,10167
NA,0.00655841438565403,3.58316882328762,6915
NA,0.0190900729829445,-0.761452206128982,3771
NA,0.0177907863212749,-1.07252211390733,3975
NA,0.013856068123132,0.328031403066662,4790
NA,0.0128101362753659,0.369375467739815,4998
NA,0.0198853955324739,-1.096344276786,3631
NA,0.0131141159823164,-0.170022364288913,4941
NA,0.0141706093633547,0.242412329336053,4709
NA,0.0108813204942271,1.04408465440773,5480
NA,0.0118828404089436,0.131344594627719,5207
NA,0.0057831947458908,4.01932864066271,7219
NA,0.00294227294623852,-0.911256914959208,8559
NA,0.0192604846507311,-0.900230009961401,3746
NA,0.0180459809023887,-1.07101542925392,3938
NA,0.0138141055684537,0.363189497288111,4794
NA,0.0159093483537436,-0.352005076675564,4333
NA,0.00049227369017899,-8.93166083183003,10507
NA,0.00955591942183673,1.68713857427963,5873
NA,0.0151691907504573,-0.152654902108592,4480
NA,0.00432815871667117,2.09006560765583,7863
NA,0.00636362015269697,3.7483773877124,6993
NA,0.00463251570705324,1.79528670140745,7711
NA,0.00285600044764578,-1.07244540975336,8601
NA,0.00829092671629041,0.650893340239549,6263
